Model,Accuracy,F1_Score,Precision,Recall,Train_Time_s,Predict_Time_s
Logistic_Regression,0.875,0.8214285714285714,0.78125,0.875,0.7946507930755615,0.0005283355712890625
SVM_Linear,0.875,0.8214285714285714,0.78125,0.875,0.005726814270019531,0.000362396240234375
SVM_RBF,0.875,0.8214285714285714,0.78125,0.875,0.006613969802856445,0.0006282329559326172
Random_Forest,0.875,0.825,0.7916666666666666,0.875,0.08197236061096191,0.0018661022186279297
KNN,0.5,0.45,0.41666666666666663,0.5,0.0006260871887207031,1.9500815868377686
Decision_Tree,0.75,0.75,0.75,0.75,0.010132312774658203,0.00011587142944335938
Naive_Bayes,0.875,0.825,0.7916666666666666,0.875,0.001146554946899414,0.00048613548278808594
MLP,0.875,0.8214285714285714,0.78125,0.875,1.8279764652252197,0.0024881362915039062
