Model,Accuracy,F1_Score,Precision,Recall,Train_Time_s,Predict_Time_s
Logistic Regression,0.875,0.8214285714285714,0.78125,0.875,0.8305354118347168,0.00039386749267578125
SVM (Linear Kernel),0.875,0.8214285714285714,0.78125,0.875,0.005970478057861328,0.0007231235504150391
SVM (RBF Kernel),0.875,0.8214285714285714,0.78125,0.875,0.007888317108154297,0.0014865398406982422
Random Forest,0.875,0.825,0.7916666666666666,0.875,0.10183000564575195,0.004010915756225586
K-Nearest Neighbors,0.5,0.45,0.41666666666666663,0.5,0.0005109310150146484,1.3466732501983643
Decision Tree,0.75,0.75,0.75,0.75,0.011575937271118164,0.0002002716064453125
Gaussian Naive Bayes,0.875,0.825,0.7916666666666666,0.875,0.0014111995697021484,0.0011315345764160156
Neural Network (MLP),0.875,0.8214285714285714,0.78125,0.875,1.8786492347717285,0.004525184631347656
